City,ZipCode,Population,$ IncomePerHousehold,Transport_tCO2e_yr,Food_tCO2e_yr,Total_tCO2e_yr
JAMUL,91935,8742,80291,29.1239331,9.21,63.94183075
LA MESA,91941,44651,45916,15.31567248,7.11,41.37246851
LA MESA,91942,24000,42443,13.99459052,6.48,38.06262599
LEMON GROVE,91945,24953,39906,15.41587177,8.61,42.48444467
MOUNT LAGUNA,91948,79,31389,9.885435282,5.28,30.84013314
NATIONAL CITY,91950,62335,29942,11.03025853,10.23,37.89753919
PINE VALLEY,91962,1598,63971,22.91499686,8.01,53.15721051
POTRERO,91963,899,29531,24.24109215,9.27,50.09374079
SPRING VALLEY,91977,56098,45917,17.21047868,9.33,46.32566406
SPRING VALLEY,91978,7843,46853,17.80842083,8.16,45.53749281
TECATE,91980,87,20417,18.38596535,11.34,43.24346989
BONSALL,92003,3844,58059,21.64276124,8.13,51.07350275
BORREGO SPRINGS,92004,2856,35648,12.36193477,6.66,36.29262792
CARDIFF BY THE SEA,92007,10366,62877,18.35643141,7.08,47.01807324
CARLSBAD,92008,35562,55123,16.22128348,7.26,44.05151299
CARLSBAD,92009,43155,76368,19.17367042,7.47,51.43014423
DEL MAR,92014,13938,97029,20.63196678,6.84,55.10547939
EL CAJON,92019,40981,56486,20.31183056,8.46,50.32361768
EL CAJON,92020,55266,37230,13.59743177,8.16,39.03494343
EL CAJON,92021,61868,40103,15.19699825,8.19,41.37731923
ENCINITAS,92024,47113,63996,17.57525297,7.65,47.40445923
ESCONDIDO,92025,49273,38828,14.6198818,9.75,42.21508194
ESCONDIDO,92026,43426,48441,17.30959637,8.1,44.93336277
ESCONDIDO,92027,48674,46077,17.96057318,9.21,46.85371579
FALLBROOK,92028,42236,49284,19.44786684,8.7,48.35782857
ESCONDIDO,92029,17929,63581,20.75300661,8.13,51.582101
JULIAN,92036,3557,47636,17.85520061,7.17,43.90041809
LA JOLLA,92037,42603,68691,15.04205138,6.21,43.47320097
LAKESIDE,92040,42267,49011,19.83343555,8.52,48.29606625
OCEANSIDE,92054,98226,36277,12.60941015,8.88,38.78186471
OCEANSIDE,92056,52894,53676,17.68699638,8.07,46.7129328
OCEANSIDE,92057,46881,49469,17.23534989,8.97,46.61011476
PALA,92059,1820,31316,15.55286468,11.76,44.47100677
PALOMAR MOUNTAIN,92060,225,43750,14.11554084,6.69,38.93379983
PAUMA VALLEY,92061,2607,44615,17.90793369,8.7,45.59544559
POWAY,92064,47957,71385,22.3517402,9.21,56.28192626
RAMONA,92065,33087,60404,24.19137036,9.21,55.26539974
RANCHITA,92066,338,22368,16.98662069,7.47,39.13254523
RANCHO SANTA FE,92067,7601,196298,34.42057972,8.67,88.13532931
SAN MARCOS,92069,52658,45647,15.83857437,8.82,44.03377321
SANTA YSABEL,92070,1141,30449,15.57488539,7.35,38.87553913
SANTEE,92071,53502,53824,18.50872765,8.4,47.94691838
SOLANA BEACH,92075,12170,69057,16.56736089,6.75,45.74704154
SAN MARCOS,92078,6748,53586,18.81067962,7.68,47.60900428
VALLEY CENTER,92082,14559,58147,23.95322051,9.21,54.84986946
VISTA,92083,62030,45901,15.76599462,9.03,44.05081006
VISTA,92084,44677,44322,16.99487642,9.27,45.51441259
WARNER SPRINGS,92086,1185,38077,15.91727816,6.99,40.46628973
RANCHO SANTA FE,92091,1061,103904,20.85116239,5.97,55.15152589
SAN DIEGO,92101,27494,23762,6.128175417,4.35,22.8183078
SAN DIEGO,92102,47123,26505,10.45381035,9.84,35.5229628
SAN DIEGO,92103,30186,39578,11.2388458,5.01,32.44128623
SAN DIEGO,92104,47688,31139,10.5027454,6.63,32.50469625
SAN DIEGO,92105,72994,25593,10.67402311,10.23,36.11734765
SAN DIEGO,92106,18505,62121,16.18628948,6.66,44.97365809
SAN DIEGO,92107,27956,42660,13.60012479,5.94,36.74887855
SAN DIEGO,92108,11640,42626,12.34928333,5.16,33.59399338
SAN DIEGO,92109,46071,45202,12.73143395,5.76,35.78958873
SAN DIEGO,92110,24149,40642,12.24702666,6.06,35.25476405
SAN DIEGO,92111,46821,42774,13.65372289,8.07,40.14687477
SAN DIEGO,92113,47417,23841,10.25073454,11.79,37.37541669
SAN DIEGO,92114,66837,46189,17.72782661,11.46,49.78398451
SAN DIEGO,92115,56883,31666,12.18224297,7.62,35.8530854
SAN DIEGO,92116,33080,35401,11.78368064,5.97,33.8486085
SAN DIEGO,92117,51203,47245,15.75388475,7.35,42.38470796
CORONADO,92118,24085,66489,13.97376386,6.81,42.78263629
SAN DIEGO,92119,21850,55973,17.61840558,7.17,45.8806032
SAN DIEGO,92120,25553,57461,18.23197848,7.05,46.72164825
SAN DIEGO,92121,4248,70750,19.03147328,7.05,48.73390584
SAN DIEGO,92122,34891,52039,14.24463732,6.27,39.14432316
SAN DIEGO,92123,25217,49646,15.74868077,7.86,43.41389331
SAN DIEGO,92124,30187,59164,18.0850079,8.55,48.50474041
SAN DIEGO,92126,74222,60229,18.36905687,9.21,49.19052448
SAN DIEGO,92127,20032,75219,20.70916743,8.52,53.32007935
SAN DIEGO,92128,42728,66676,16.41123714,6.78,45.66521876
SAN DIEGO,92129,47217,77851,22.03939562,9.48,57.29200822
SAN DIEGO,92130,28187,93929,20.8118896,7.95,56.42808643
SAN DIEGO,92131,29279,90811,23.5557093,8.4,59.96526977
SAN DIEGO,92139,36341,49032,18.36868123,10.41,49.04121392
SAN DIEGO,92154,68764,42970,17.51527242,11.07,48.06227783
SAN YSIDRO,92173,28481,27943,12.22808957,11.67,40.05959765
INDIO,92201,56296,36180,13.13724671,10.05,45.27550001
INDIO,92203,2730,37250,12.03995972,9.39,40.24875364
INDIAN WELLS,92210,3859,95126,17.34878222,5.79,52.01322244
PALM DESERT,92211,19699,52251,13.04002049,6.12,40.55712749
BANNING,92220,25848,32825,14.24517477,7.83,40.99726795
BEAUMONT,92223,17716,34254,15.46361922,8.13,42.64590343
BLYTHE,92225,24641,31092,12.35731526,8.73,38.98513133
BRAWLEY,92227,23387,31694,15.62811544,9.78,46.07607209
CABAZON,92230,2348,22524,13.71948268,8.88,39.94190413
CALEXICO,92231,27798,28851,14.98991152,11.88,47.86760886
CALIPATRIA,92233,7855,31031,15.75752381,10.47,47.48847743
CATHEDRAL CITY,92234,43129,38964,12.6929145,9.03,41.36115207
COACHELLA,92236,23159,28606,15.21124259,14.1,50.34817601
DESERT CENTER,92239,962,36250,11.37615684,7.32,37.43255564
DESERT HOT SPRINGS,92240,22779,27335,12.15248019,8.34,37.39311798
DESERT HOT SPRINGS,92241,5512,26554,10.85903897,6.6,34.43591553
EARP,92242,1545,22602,9.788857713,6.3,31.56628878
EL CENTRO,92243,43705,35024,14.24123904,9.75,44.91241882
HEBER,92249,3528,30739,17.11166861,12.48,51.52501895
HOLTVILLE,92250,8058,39583,18.64524759,10.08,51.34154702
IMPERIAL,92251,14538,51008,19.71605548,9.9,54.45927232
JOSHUA TREE,92252,8137,25700,12.87832238,6.87,35.8155282
LA QUINTA,92253,23970,54686,15.28357666,8.4,49.5222985
MECCA,92254,8761,23588,14.96602132,14.19,48.11907307
MORONGO VALLEY,92256,3485,31761,16.6109781,6.93,40.51832939
NILAND,92257,2734,22821,11.01616224,6.3,33.39693514
NORTH PALM SPRINGS,92258,717,28590,12.15733415,9.96,39.073042
OCOTILLO,92259,454,26964,15.11993847,6.12,37.94368377
PALM DESERT,92260,29322,43299,11.8709998,6.27,37.7749691
