ZIP,date,Adjusted gross income (AGI),Salaries and wages in AGI Amount,Net capital gain (less loss) in AGI Amount,Unemployment compensation Amount,Social Security benefits in AGI Amount,Real estate taxes Amount,Taxes paid Amount,Taxable income Amount,Total tax credits Amount,Residential energy credit Amount,Income tax Amount,Alternative minimum tax Amount,Overpayments refunded Amount,Additional Medicare tax Amount
91362,2010,2232012,1419398,91004,17244,39475,61472,215639,1552798,13306,859,374753,21729,65571,0
91364,2010,1696144,1060245,80983,15468,30315,45648,167449,1218632,12949,836,301428,13161,54090,0
91367,2010,1693245,1092620,101493,21313,38709,43790,138328,1163092,11539,820,237963,10877,54987,0
91377,2010,685633,504171,12062,6471,8859,22512,66916,469472,2813,278,102997,6971,18281,0
91381,2010,884990,693306,10911,8546,7104,33553,92236,574269,4769,403,126619,9128,27573,0
91384,2010,680511,576245,5044,11328,7332,22093,57995,410461,4928,367,68529,2409,25081,0
91387,2010,1213595,949563,43134,20072,14796,35684,99303,755548,8669,617,134271,5674,48271,0
91390,2010,672191,543871,10670,9049,9885,25061,64324,415589,3890,556,75108,3877,22865,0
91401,2010,865065,628833,6938,20564,15614,19729,57816,514518,5697,552,92622,3319,44779,0
91402,2010,777965,658600,1541,23834,7282,12367,29499,345154,8471,211,40634,486,60575,0
91403,2010,1701461,1084042,85629,16195,21212,38580,163847,1265551,13393,446,319454,15274,52066,0
91405,2010,669765,541022,4202,20529,8294,10689,27319,327259,6170,197,43414,613,46910,0
91406,2010,956830,742504,8640,25486,13932,19173,54208,538482,7714,428,85120,1541,51292,0
91411,2010,456002,358380,4152,12131,6318,8825,25591,266010,3387,285,43441,1279,23272,0
91423,2010,1548949,1036595,43650,22315,24512,35298,133560,1099313,7339,511,250759,13871,49048,0
91436,2010,3284814,1811930,236053,6429,33707,60331,356794,2566768,22857,514,749162,27633,98687,0
91501,2010,567902,418148,2290,11336,9303,11599,39385,364760,3193,190,68150,2366,21693,0
91502,2010,230552,182911,5674,6437,2227,2538,10076,140951,1628,36,22946,730,12113,0
91504,2010,813970,572325,9397,13679,16177,18442,58386,513455,5005,378,97636,3421,30715,0
91505,2010,1135836,832524,87906,22597,17946,21101,75232,765440,5906,409,137520,4518,37775,0
91506,2010,586423,456424,4579,13318,11077,12599,41132,376439,3236,357,66069,2265,21479,0
91601,2010,747696,616083,2584,23927,7203,9631,35628,453463,4161,241,75692,1583,36312,0
91602,2010,762044,565199,18704,17909,10399,16019,58902,529317,2882,184,110774,5493,24723,0
91604,2010,1608307,1078058,44137,21759,26122,40964,147656,1134247,6704,634,265232,15930,48167,0
91605,2010,736334,594728,3020,23184,10043,13966,32621,352107,7054,295,46405,526,52809,0
91606,2010,652571,538044,867,21109,8357,11133,28356,335006,5622,236,45816,519,41864,0
91607,2010,835136,613242,10049,20705,15092,17720,57267,539393,4897,309,101035,4453,30437,0
91701,2010,1139206,887483,6115,22556,23374,28595,82739,685734,8313,859,109155,2836,42207,0
91702,2010,902671,762331,1136,27856,11822,18518,45910,453834,9195,416,59661,1005,57493,0
91706,2010,1011768,858605,2487,37070,9821,19167,43192,454958,12093,367,52458,421,76759,0
91708,2010,183668,158185,1277,3829,1378,8184,17339,104157,1477,76,16370,601,8034,0
91709,2010,2462137,1945957,47095,41193,26980,76888,212375,1524011,16697,1447,270346,11391,90482,0
91710,2010,1506983,1222009,15415,42248,23011,34485,94549,834399,13988,937,119393,2715,73397,0
91711,2010,1340001,837522,76688,12113,39443,34178,110166,910416,6928,1057,180582,9418,43108,0
91722,2010,707828,589476,5414,20861,11425,15244,38843,386446,7306,385,50640,364,37582,0
91723,2010,366269,297107,2057,9823,6881,7323,19683,207721,3534,194,28458,400,18265,0
91724,2010,703898,521878,6442,12683,16285,17861,50243,429341,5127,490,72206,2265,28942,0
91730,2010,1399888,1172839,3777,39376,18127,25779,79110,821258,13088,611,120634,1850,64678,0
91731,2010,370462,287577,1999,11729,4101,6036,13562,179220,3573,134,27102,243,26349,0
91732,2010,730227,611460,2323,25456,7095,14440,30460,324936,7619,224,39197,339,58265,0
91733,2010,495054,407042,4345,16314,4502,7554,18021,212049,5523,134,26645,385,42263,0
91737,2010,861806,603161,26762,11824,13142,23067,71769,549226,5688,547,104962,4857,32402,0
91739,2010,1068628,867491,10769,15437,9261,37982,95765,641137,7520,640,114055,5748,40419,0
91740,2010,643317,503117,5164,13924,13174,14927,43169,385792,4974,424,61169,1164,26123,0
91741,2010,993491,658807,30786,11512,23858,27379,86297,654043,5412,607,126911,5845,34815,0
91744,2010,1124988,959700,1368,40040,12242,20866,48253,506498,13788,450,57348,459,84463,0
91745,2010,1378667,968976,18477,25936,33533,35767,98632,838166,11189,889,141807,4300,58017,0
91746,2010,439528,360576,719,14699,5849,9371,21676,205124,5151,240,26178,281,31943,0
91748,2010,1009025,738043,14222,19919,16416,30334,74172,590519,8323,571,100895,3975,47846,0
91750,2010,1103741,763240,42152,17170,28015,27433,83960,691571,6708,939,124518,4678,39308,0
91752,2010,524433,435085,2103,17122,7297,13911,32509,270816,5206,278,36365,618,29397,0
91754,2010,815335,541816,14161,14397,20822,17955,52672,507105,5471,455,88740,2360,35694,0
91755,2010,507980,387603,3689,10972,10318,12165,29765,293906,3835,314,44840,971,23987,0
91761,2010,1037310,867887,15498,33921,13200,19509,56887,545113,11335,553,73326,904,60777,0
91762,2010,872806,700019,3232,31119,13796,12573,37668,430158,9247,425,55829,680,59353,0
91763,2010,536023,441675,1105,18633,7668,8547,22839,250694,5904,214,30557,229,37577,0
